;name;time;avr memory;reduce;dimension
0;boon.json;0.16665053367614746;60.12950721153846;141;6
1;butcher.json;8.609942436218262;69.7287538109756;579;7
2;butcher8.json;52.81550216674805;74.14926658163266;1851;8
3;camera1s.json;3.070404529571533;64.15511592741936;269;6
4;caprasse.json;0.29070281982421875;60.346875;250;4
5;cassou.json;5.475175619125366;71.58962264150944;192;5
6;chandra4.json;0.04125261306762695;59.296223958333336;30;4
7;chandra5.json;0.24907994270324707;60.196875;108;5
8;chandra6.json;1.5914504528045654;61.7571231617647;447;6
9;chemequ.json;1.1047096252441406;61.09314903846154;136;5
10;chemequs.json;1.9762439727783203;69.91956676136364;179;5
11;cohn2.json;9.763651132583618;66.95833333333333;424;4
12;cpdm5.json;152.9927716255188;81.50367776603241;2890;5
13;cyclic5.json;0.726693868637085;60.841145833333336;441;5
14;cyclic6.json;64.48099565505981;71.36290891513377;6170;6
15;des18_3.json;10.843421697616577;68.21875;640;8
16;dessin1.json;14.170219898223877;67.76922123015873;640;8
17;eco7.json;4.367276906967163;66.19940043604652;462;7
18;extcyc4.json;0.8590576648712158;60.85049715909091;584;5
19;extcyc5.json;147.29170536994934;91.98704513124082;9821;6
20;geneig.json;1.4469099044799805;61.80859375;141;6
21;hcyclic5.json;0.6021571159362793;60.7724609375;611;6
22;hcyclic6.json;20.4991135597229;68.20739556347151;4517;7
23;hemmecke.json;0.09316062927246094;60.1171875;28;4
24;hunecke.json;0.013129472732543945;58.4765625;16;5
25;issac97.json;0.3294541835784912;60.487630208333336;41;4
26;katsura6.json;17.503106832504272;68.01171875;702;7
27;liu.json;0.07970547676086426;60.05078125;45;6
28;lorentz.json;0.055212974548339844;60.04296875;55;4
29;noon5.json;21.698084831237793;68.01912715517241;2393;5
30;quadfor2.json;0.0030999183654785156;58.239939298561154;8;5
31;quadgrid.json;0.0581052303314209;59.849609375;25;6
32;redcyc5.json;0.735910177230835;60.83984375;240;6
33;redcyc6.json;32.71464014053345;73.8053042763158;2347;7
34;redeco7.json;1.7677202224731445;66.62890625;445;7
35;reimer4.json;14.245018720626831;66.4052880130597;372;4
36;solotarev.json;0.01773977279663086;58.766497940112544;20;4
37;sparse5.json;0.003413677215576172;58.336616847826086;10;5
38;tangents.json;4.343416690826416;66.57549055232558;365;6
39;uteshev_bikker.json;0.9974699020385742;61.748372395833336;102;4
40;vermeer.json;2.7664403915405273;66.13295200892857;310;5
